,report_id,arrest_date,time,area_id,area_name,reporting_district,age,sex_code,descent_code,charge_group_code,charge_group_description,arrest_type_code,charge,charge_description,address,location,year,day,month,monthname,weekday,hour,minute,night,latitude,longitude,descent_description,arrest_type_description,geometry
29209,190614017,2019-06-20,1040,6,Hollywood,637,44,F,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,GOWER                        ST,"34.104, -118.3224",2019,20,6,June,Thursday,10,40,False,34.104,-118.3224,White,Misdemeanor,POINT (-118.3224 34.104)
29900,190614015,2019-06-18,2125,6,Hollywood,636,34,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,ROMAINE,"34.1034, -118.3325",2019,18,6,June,Tuesday,21,25,False,34.1034,-118.3325,Black,Misdemeanor,POINT (-118.3325 34.1034)
31439,190613722,2019-06-12,1150,6,Hollywood,669,47,M,W,nan,,I,41.18(D)LAM,,LEXINGTON                    AV,"34.0929, -118.3092",2019,12,6,June,Wednesday,11,50,False,34.0929,-118.3092,White,Infraction,POINT (-118.3092 34.0929)
31836,190613485,2019-06-11,1225,6,Hollywood,648,18,F,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,FERNWOOD,"34.1, -118.3113",2019,11,6,June,Tuesday,12,25,False,34.1,-118.3113,White,Misdemeanor,POINT (-118.3113 34.1)
32835,190613484,2019-06-07,0745,6,Hollywood,666,45,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LA MIRADA,"34.0935, -118.3266",2019,7,6,June,Friday,07,45,False,34.0935,-118.3266,White,Misdemeanor,POINT (-118.3266 34.0935)
33997,190613487,2019-06-03,0940,6,Hollywood,668,38,F,A,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,FERNWOOD,"34.0968, -118.3109",2019,3,6,June,Monday,09,40,False,34.0968,-118.3109,Asian,Misdemeanor,POINT (-118.3109 34.0968)
34071,190613486,2019-06-03,0940,6,Hollywood,668,24,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,FERNWOOD,"34.0968, -118.3109",2019,3,6,June,Monday,09,40,False,34.0968,-118.3109,White,Misdemeanor,POINT (-118.3109 34.0968)
34073,190613488,2019-06-03,0940,6,Hollywood,668,50,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,FERNWOOD,"34.0968, -118.3109",2019,3,6,June,Monday,09,40,False,34.0968,-118.3109,Black,Misdemeanor,POINT (-118.3109 34.0968)
39450,190611957,2019-05-14,0750,6,Hollywood,676,64,M,W,nan,,I,41.18(D)LAM,,WILLOUGHBY,"34.0871, -118.3266",2019,14,5,May,Tuesday,07,50,False,34.0871,-118.3266,White,Infraction,POINT (-118.3266 34.0871)
41525,190611594,2019-05-06,1210,6,Hollywood,637,37,M,W,nan,,I,41.18(D)LAM,,GOWER,"34.1043, -118.3224",2019,6,5,May,Monday,12,10,False,34.1043,-118.3224,White,Infraction,POINT (-118.3224 34.1043)
47390,190610167,2019-04-15,0900,6,Hollywood,663,35,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,ROMAINE,"34.0889, -118.3416",2019,15,4,April,Monday,09,00,False,34.0889,-118.3416,Hispanic,Misdemeanor,POINT (-118.3416 34.0889)
48249,190610162,2019-04-11,1130,6,Hollywood,637,61,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,GOWER,"34.104, -118.3224",2019,11,4,April,Thursday,11,30,False,34.104,-118.3224,White,Misdemeanor,POINT (-118.3224 34.104)
49776,190609488,2019-04-05,1440,6,Hollywood,667,36,M,H,nan,,I,41.18DLAMC,,1100 N  GORDON                       ST,"34.0908, -118.3201",2019,5,4,April,Friday,14,40,False,34.0908,-118.3201,Hispanic,Infraction,POINT (-118.3201 34.0908)
50263,190609701,2019-04-03,1100,6,Hollywood,644,39,M,W,nan,,I,41.18(D)LAM,,STANLEY,"34.0962, -118.349",2019,3,4,April,Wednesday,11,00,False,34.0962,-118.349,White,Infraction,POINT (-118.349 34.0962)
50409,190609699,2019-04-03,1110,6,Hollywood,644,36,F,H,nan,,I,41.18(D)LAM,,STANLEY,"34.0962, -118.349",2019,3,4,April,Wednesday,11,10,False,34.0962,-118.349,Hispanic,Infraction,POINT (-118.349 34.0962)
52093,190609629,2019-03-27,0745,6,Hollywood,635,29,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,ODIN,"34.1079, -118.3337",2019,27,3,March,Wednesday,07,45,False,34.1079,-118.3337,White,Misdemeanor,POINT (-118.3337 34.1079)
52687,190609617,2019-03-25,1030,6,Hollywood,666,34,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,COLE                         PL,"34.098, -118.3303",2019,25,3,March,Monday,10,30,False,34.098,-118.3303,Black,Misdemeanor,POINT (-118.3303 34.098)
53881,190609531,2019-03-20,0805,6,Hollywood,656,46,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,GOWER,"34.0889, -118.3223",2019,20,3,March,Wednesday,08,05,False,34.0889,-118.3223,White,Misdemeanor,POINT (-118.3223 34.0889)
54152,190609535,2019-03-19,1700,6,Hollywood,645,43,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,SUNSET,"34.098, -118.3425",2019,19,3,March,Tuesday,17,00,False,34.098,-118.3425,White,Misdemeanor,POINT (-118.3425 34.098)
54176,190609395,2019-03-19,1530,6,Hollywood,644,47,F,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,SUNSET,"34.098, -118.3483",2019,19,3,March,Tuesday,15,30,False,34.098,-118.3483,White,Misdemeanor,POINT (-118.3483 34.098)
54198,190609536,2019-03-19,1450,6,Hollywood,646,23,F,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LAS PALMAS,"34.0997, -118.3363",2019,19,3,March,Tuesday,14,50,False,34.0997,-118.3363,Black,Misdemeanor,POINT (-118.3363 34.0997)
54949,190609400,2019-03-16,1500,6,Hollywood,645,31,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,FORMOSA,"34.1006, -118.3417",2019,16,3,March,Saturday,15,00,False,34.1006,-118.3417,White,Misdemeanor,POINT (-118.3417 34.1006)
55009,190609396,2019-03-16,1430,6,Hollywood,645,34,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LA BREA,"34.098, -118.3441",2019,16,3,March,Saturday,14,30,False,34.098,-118.3441,White,Misdemeanor,POINT (-118.3441 34.098)
55180,190609403,2019-03-15,1435,6,Hollywood,645,34,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LA BREA,"34.098, -118.3441",2019,15,3,March,Friday,14,35,False,34.098,-118.3441,White,Misdemeanor,POINT (-118.3441 34.098)
55701,190608728,2019-03-13,1520,6,Hollywood,644,40,M,W,nan,,I,41.18(D)LAM,,SUNSET,"34.098, -118.3483",2019,13,3,March,Wednesday,15,20,False,34.098,-118.3483,White,Infraction,POINT (-118.3483 34.098)
55741,190608731,2019-03-13,1430,6,Hollywood,645,35,M,W,nan,,I,41.18(D)LAM,,SUNSET,"34.098, -118.3441",2019,13,3,March,Wednesday,14,30,False,34.098,-118.3441,White,Infraction,POINT (-118.3441 34.098)
55983,190608093,2019-03-12,0925,6,Hollywood,669,37,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LEXINGTON,"34.0929, -118.3092",2019,12,3,March,Tuesday,09,25,False,34.0929,-118.3092,Hispanic,Misdemeanor,POINT (-118.3092 34.0929)
55995,190608106,2019-03-12,1155,6,Hollywood,668,32,F,O,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,FERNWOOD,"34.0958, -118.3092",2019,12,3,March,Tuesday,11,55,False,34.0958,-118.3092,Other,Misdemeanor,POINT (-118.3092 34.0958)
56039,190608105,2019-03-12,1155,6,Hollywood,668,31,M,O,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,FERNWOOD,"34.0958, -118.3092",2019,12,3,March,Tuesday,11,55,False,34.0958,-118.3092,Other,Misdemeanor,POINT (-118.3092 34.0958)
56061,190608089,2019-03-12,1155,6,Hollywood,668,22,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,FERNWOOD,"34.0958, -118.3092",2019,12,3,March,Tuesday,11,55,False,34.0958,-118.3092,Hispanic,Misdemeanor,POINT (-118.3092 34.0958)
56189,190608030,2019-03-11,1015,6,Hollywood,646,47,F,B,20,Disorderly Conduct,M,41.18(A)LAM,LOITER/OBSTRUCT STREET/SIDEWALK/ETC****,SUNSET                       BL,"34.098, -118.3363",2019,11,3,March,Monday,10,15,False,34.098,-118.3363,Black,Misdemeanor,POINT (-118.3363 34.098)
56981,190608102,2019-03-08,0800,6,Hollywood,668,19,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LEXINGTON,"34.0928, -118.3092",2019,8,3,March,Friday,08,00,False,34.0928,-118.3092,Hispanic,Misdemeanor,POINT (-118.3092 34.0928)
57003,190608101,2019-03-08,0820,6,Hollywood,668,37,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LEXINGTON,"34.0928, -118.3092",2019,8,3,March,Friday,08,20,False,34.0928,-118.3092,Hispanic,Misdemeanor,POINT (-118.3092 34.0928)
57055,190608104,2019-03-08,0800,6,Hollywood,668,27,F,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LEXINGTON,"34.0928, -118.3092",2019,8,3,March,Friday,08,00,False,34.0928,-118.3092,Hispanic,Misdemeanor,POINT (-118.3092 34.0928)
57171,190608100,2019-03-08,0800,6,Hollywood,668,32,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,WESTERN,"34.0929, -118.3092",2019,8,3,March,Friday,08,00,False,34.0929,-118.3092,Hispanic,Misdemeanor,POINT (-118.3092 34.0929)
57205,190608098,2019-03-08,0810,6,Hollywood,668,25,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,WESTERN                      AV,"34.0929, -118.3092",2019,8,3,March,Friday,08,10,False,34.0929,-118.3092,Hispanic,Misdemeanor,POINT (-118.3092 34.0929)
57512,190607896,2019-03-07,1645,6,Hollywood,666,40,M,W,24,Miscellaneous Other Violations,M,41.18LAMC,LOITERING (GENERALLY),IVAR,"34.0944, -118.3277",2019,7,3,March,Thursday,16,45,False,34.0944,-118.3277,White,Misdemeanor,POINT (-118.3277 34.0944)
57879,190607678,2019-03-05,0930,6,Hollywood,656,40,M,W,nan,,I,41.18(D)LAM,,1000 N  GOWER                        ST,"34.0889, -118.3277",2019,5,3,March,Tuesday,09,30,False,34.0889,-118.3277,White,Infraction,POINT (-118.3277 34.0889)
57907,190607677,2019-03-05,0920,6,Hollywood,647,28,M,H,nan,,I,41.18(D)LAM,,GOWER,"34.098, -118.3223",2019,5,3,March,Tuesday,09,20,False,34.098,-118.3223,Hispanic,Infraction,POINT (-118.3223 34.098)
57915,190607682,2019-03-05,0910,6,Hollywood,636,40,M,W,nan,,I,41.18(D)LAM,,SANTA MONICA,"34.1034, -118.3325",2019,5,3,March,Tuesday,09,10,False,34.1034,-118.3325,White,Infraction,POINT (-118.3325 34.1034)
58172,190607684,2019-03-04,1140,6,Hollywood,678,60,F,B,nan,,I,41.18(D)LAM,,WARING,"34.0864, -118.3059",2019,4,3,March,Monday,11,40,False,34.0864,-118.3059,Black,Infraction,POINT (-118.3059 34.0864)
59101,190607512,2019-02-28,0940,6,Hollywood,636,54,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LILLIAN                      WY,"34.1034, -118.3325",2019,28,2,February,Thursday,09,40,False,34.1034,-118.3325,White,Misdemeanor,POINT (-118.3325 34.1034)
59429,190607507,2019-02-27,0750,6,Hollywood,643,22,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,7300 W  SUNSET                       BL,"34.1007, -118.3494",2019,27,2,February,Wednesday,07,50,False,34.1007,-118.3494,White,Misdemeanor,POINT (-118.3494 34.1007)
59475,190607509,2019-02-27,0730,6,Hollywood,663,21,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,1000 N  MANSFIELD                    AV,"34.0889, -118.3404",2019,27,2,February,Wednesday,07,30,False,34.0889,-118.3404,Black,Misdemeanor,POINT (-118.3404 34.0889)
59479,190607506,2019-02-27,0800,6,Hollywood,643,51,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,7300 W  SUNSET                       BL,"34.1007, -118.3494",2019,27,2,February,Wednesday,08,00,False,34.1007,-118.3494,White,Misdemeanor,POINT (-118.3494 34.1007)
61413,190606939,2019-02-19,1450,6,Hollywood,645,34,M,W,nan,,I,41.18(D)LAM,,SYCAMORE,"34.098, -118.3425",2019,19,2,February,Tuesday,14,50,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
61491,190606941,2019-02-19,1515,6,Hollywood,645,29,M,H,nan,,I,41.18(D)LAM,,SUNSET,"34.098, -118.3425",2019,19,2,February,Tuesday,15,15,False,34.098,-118.3425,Hispanic,Infraction,POINT (-118.3425 34.098)
61523,190607164,2019-02-19,0800,6,Hollywood,645,32,M,W,nan,,I,41.18(D)LAM,,SYCAMORE                     AV,"34.098, -118.3425",2019,19,2,February,Tuesday,08,00,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
62790,190606657,2019-02-13,1625,6,Hollywood,666,57,M,B,20,Disorderly Conduct,M,41.18ALAMC,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,SUNSET                       BL,"34.098, -118.3237",2019,13,2,February,Wednesday,16,25,False,34.098,-118.3237,Black,Misdemeanor,POINT (-118.3237 34.098)
62832,190606658,2019-02-13,1625,6,Hollywood,666,24,M,W,20,Disorderly Conduct,M,41.18ALAMC,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,SUNSET                       BL,"34.098, -118.3237",2019,13,2,February,Wednesday,16,25,False,34.098,-118.3237,White,Misdemeanor,POINT (-118.3237 34.098)
62975,190606640,2019-02-12,0810,6,Hollywood,676,60,F,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LILLIAN                      WY,"34.0835, -118.3277",2019,12,2,February,Tuesday,08,10,False,34.0835,-118.3277,Black,Misdemeanor,POINT (-118.3277 34.0835)
63053,190606641,2019-02-12,0800,6,Hollywood,676,27,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LILLIAN,"34.0835, -118.3277",2019,12,2,February,Tuesday,08,00,False,34.0835,-118.3277,Black,Misdemeanor,POINT (-118.3277 34.0835)
63119,190606639,2019-02-12,0815,6,Hollywood,676,62,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LILLIAN,"34.0835, -118.3277",2019,12,2,February,Tuesday,08,15,False,34.0835,-118.3277,White,Misdemeanor,POINT (-118.3277 34.0835)
63123,190606637,2019-02-12,0755,6,Hollywood,676,49,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LILLIAN,"34.0835, -118.3277",2019,12,2,February,Tuesday,07,55,False,34.0835,-118.3277,Black,Misdemeanor,POINT (-118.3277 34.0835)
63149,190606636,2019-02-12,0740,6,Hollywood,676,54,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LILLIAN,"34.0835, -118.3277",2019,12,2,February,Tuesday,07,40,False,34.0835,-118.3277,Black,Misdemeanor,POINT (-118.3277 34.0835)
63343,190606519,2019-02-11,0845,6,Hollywood,663,39,M,B,nan,,I,41.18(D)LAM,,MANSFIELD,"34.0889, -118.3404",2019,11,2,February,Monday,08,45,False,34.0889,-118.3404,Black,Infraction,POINT (-118.3404 34.0889)
63954,190606632,2019-02-08,0930,6,Hollywood,663,37,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,1000 N  MANSFIELD                    AV,"34.0889, -118.3404",2019,8,2,February,Friday,09,30,False,34.0889,-118.3404,Black,Misdemeanor,POINT (-118.3404 34.0889)
64018,190606633,2019-02-08,0230,6,Hollywood,663,39,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,1000 N  MANSFIELD                    AV,"34.0889, -118.3404",2019,8,2,February,Friday,02,30,True,34.0889,-118.3404,Black,Misdemeanor,POINT (-118.3404 34.0889)
64328,190606626,2019-02-07,1200,6,Hollywood,666,37,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,IVAR,"34.0962, -118.3288",2019,7,2,February,Thursday,12,00,False,34.0962,-118.3288,Black,Misdemeanor,POINT (-118.3288 34.0962)
65683,190606619,2019-02-01,0945,6,Hollywood,645,39,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,SYCAMORE,"34.098, -118.3425",2019,1,2,February,Friday,09,45,False,34.098,-118.3425,Hispanic,Misdemeanor,POINT (-118.3425 34.098)
66230,190606511,2019-01-30,1030,6,Hollywood,666,33,M,B,nan,,I,41.18(D)LAM,,LEXINGTON,"34.0926, -118.3266",2019,30,1,January,Wednesday,10,30,False,34.0926,-118.3266,Black,Infraction,POINT (-118.3266 34.0926)
66246,190606510,2019-01-30,0730,6,Hollywood,645,47,F,W,nan,,I,41.18(A)LAM,,SYCAMORE,"34.098, -118.3425",2019,30,1,January,Wednesday,07,30,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
66250,190606515,2019-01-30,0730,6,Hollywood,645,34,M,W,nan,,I,41.18(D)LAM,,SYCAMORE,"34.098, -118.3425",2019,30,1,January,Wednesday,07,30,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
68152,190606504,2019-01-23,1100,6,Hollywood,663,40,M,B,nan,,I,41.18(D)LAM,,1000 N  MANSFIELD                    AV,"34.0889, -118.3404",2019,23,1,January,Wednesday,11,00,False,34.0889,-118.3404,Black,Infraction,POINT (-118.3404 34.0889)
68174,190605997,2019-01-23,0813,6,Hollywood,645,20,F,W,nan,,I,41.18(D)LAM,,SYCAMORE,"34.098, -118.3425",2019,23,1,January,Wednesday,08,13,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
68192,190606003,2019-01-23,0740,6,Hollywood,663,39,M,B,nan,,I,41.18(D)LAM,,MANSFIELD,"34.0907, -118.3404",2019,23,1,January,Wednesday,07,40,False,34.0907,-118.3404,Black,Infraction,POINT (-118.3404 34.0907)
68218,190605999,2019-01-23,0755,6,Hollywood,645,38,M,W,nan,,I,41.18(D)LAM,,SYCAMORE,"34.098, -118.3425",2019,23,1,January,Wednesday,07,55,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
68246,190606004,2019-01-23,0800,6,Hollywood,645,24,M,B,nan,,I,41.18(D)LAM,,SYCAMORE,"34.098, -118.3425",2019,23,1,January,Wednesday,08,00,False,34.098,-118.3425,Black,Infraction,POINT (-118.3425 34.098)
68318,190605998,2019-01-23,0815,6,Hollywood,645,40,M,W,nan,,I,41.18(D)LAM,,SYCAMORE,"34.098, -118.3425",2019,23,1,January,Wednesday,08,15,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
68324,190606503,2019-01-23,1100,6,Hollywood,663,32,M,B,nan,,I,41.18(D)LAM,,MANSFIELD,"34.0907, -118.3404",2019,23,1,January,Wednesday,11,00,False,34.0907,-118.3404,Black,Infraction,POINT (-118.3404 34.0907)
68925,190606140,2019-01-20,1000,6,Hollywood,645,54,M,W,nan,,I,41.18(D)LAM,,SYCAMORE,"34.098, -118.3425",2019,20,1,January,Sunday,10,00,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
68927,190605976,2019-01-20,0745,6,Hollywood,646,44,M,B,nan,,I,41.18(D)LAM,,SELMA,"34.0997, -118.3361",2019,20,1,January,Sunday,07,45,False,34.0997,-118.3361,Black,Infraction,POINT (-118.3361 34.0997)
68949,190605845,2019-01-20,1000,6,Hollywood,646,22,M,W,nan,,I,41.18(D)LAM,,SELMA,"34.0997, -118.3361",2019,20,1,January,Sunday,10,00,False,34.0997,-118.3361,White,Infraction,POINT (-118.3361 34.0997)
68957,190606135,2019-01-20,1000,6,Hollywood,645,51,M,W,nan,,I,41.18(D)LAM,,SYCAMORE,"34.098, -118.3425",2019,20,1,January,Sunday,10,00,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
68987,190605863,2019-01-20,0840,6,Hollywood,676,21,M,B,nan,,I,41.18(D)LAM,,WILLOUGHBY,"34.0871, -118.3299",2019,20,1,January,Sunday,08,40,False,34.0871,-118.3299,Black,Infraction,POINT (-118.3299 34.0871)
68989,190606141,2019-01-20,0830,6,Hollywood,645,29,M,W,nan,,I,41.18(D)LAM,,SYCAMORE,"34.098, -118.3425",2019,20,1,January,Sunday,08,30,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
68991,190605844,2019-01-20,1000,6,Hollywood,646,24,M,B,nan,,I,41.18(D)LAM,,SELMA,"34.0997, -118.3361",2019,20,1,January,Sunday,10,00,False,34.0997,-118.3361,Black,Infraction,POINT (-118.3361 34.0997)
69001,190605865,2019-01-20,1130,6,Hollywood,645,53,F,W,nan,,I,41.18(D)LAM,,SYCAMORE,"34.098, -118.3425",2019,20,1,January,Sunday,11,30,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
